Date,Region,Customer_ID,Complaint_Category,Sentiment_Score,Response_Time_Hours,Resolution_Satisfaction,Support_Channel
2025-02-01,Northeast,C824833,delivery_delay,0.21440309101685093,11.7,2,phone
2025-02-01,Northeast,C702169,defective_item,0.44723401329589507,5.3,3,twitter
2025-02-01,Northeast,C644765,delivery_delay,0.27287160918334485,10.8,5,email
2025-02-01,Northeast,C872710,refund_status,0.019524176265548032,18.8,4,twitter
2025-02-01,Northeast,C629622,delivery_delay,0.0584278440933067,8.8,4,email
2025-02-01,Midwest,C404441,refund_status,0.46479415576258815,8.6,3,phone
2025-02-01,Midwest,C748766,delivery_delay,0.6858815333327707,0.5,3,twitter
2025-02-01,Midwest,C984236,size_issue,0.3780108398590708,17.1,3,twitter
2025-02-01,Midwest,C507697,delivery_delay,0.34370105760712666,11.3,4,phone
2025-02-01,South,C501170,size_issue,0.4787536639043548,4.1,4,email
2025-02-01,South,C151194,refund_status,0.7235102724294995,10.4,4,phone
2025-02-01,South,C390833,refund_status,0.36171209191033105,8.5,4,email
2025-02-01,South,C806092,delivery_delay,-0.13326126746762634,0.5,3,phone
2025-02-01,South,C395891,refund_status,-0.0632448949005161,11.5,3,chat
2025-02-01,South,C620791,other,0.9411056110963733,5.0,4,phone
2025-02-01,South,C597665,delivery_delay,0.4934927907412535,2.1,3,chat
2025-02-01,South,C143463,other,-0.0001026450738345619,5.3,3,email
2025-02-01,South,C353693,delivery_delay,-0.20491629721883942,7.3,4,twitter
2025-02-01,South,C669740,size_issue,0.5382940745707099,14.3,4,twitter
2025-02-01,West,C721856,refund_status,-0.022090412754692035,10.1,4,phone
2025-02-01,West,C127300,other,0.1343993606681817,7.2,3,phone
2025-02-01,West,C632340,delivery_delay,-0.5804626379806308,22.1,5,email
2025-02-01,West,C392168,size_issue,0.46699396429763745,17.1,4,twitter
2025-02-01,West,C129545,delivery_delay,0.26697645249190566,8.0,2,twitter
2025-02-01,West,C598021,defective_item,0.48496988830270144,3.8,5,email
2025-02-01,West,C734722,size_issue,-0.04616302498203417,10.3,4,twitter
2025-02-02,Northeast,C242153,delivery_delay,-0.5048647973421496,11.0,5,chat
2025-02-02,Northeast,C239958,size_issue,0.39023554733221977,13.9,4,twitter
2025-02-02,Northeast,C539009,refund_status,0.1914583627886543,16.6,5,phone
2025-02-02,Northeast,C489450,delivery_delay,-0.03828873609942318,9.3,5,chat
2025-02-02,Northeast,C452548,delivery_delay,-0.05065437419145946,14.7,4,chat
2025-02-02,Midwest,C823874,refund_status,0.19386781797632002,18.4,5,phone
2025-02-02,Midwest,C652994,other,0.20667735424263933,5.9,4,phone
2025-02-02,Midwest,C464326,delivery_delay,0.25515480596783774,12.8,4,twitter
2025-02-02,Midwest,C121680,other,-0.38058704194414905,10.8,3,chat
2025-02-02,Midwest,C586786,refund_status,-0.3477295426668938,11.0,4,phone
2025-02-02,South,C283751,delivery_delay,0.07194156757697506,6.4,5,chat
2025-02-02,West,C438224,refund_status,0.04948524380868796,8.4,4,phone
2025-02-02,West,C717475,defective_item,0.008478613180414096,3.5,3,phone
2025-02-02,West,C492236,delivery_delay,0.347383507426326,8.6,4,phone
2025-02-02,West,C995023,other,-0.038368355644732816,12.6,4,chat
2025-02-02,West,C162637,delivery_delay,0.23500154868950984,7.9,4,phone
2025-02-03,Northeast,C893461,delivery_delay,0.2433069946630444,22.4,3,email
2025-02-03,Northeast,C572343,refund_status,0.2293923168859064,13.9,4,phone
2025-02-03,Northeast,C596572,delivery_delay,0.09935673796486191,11.6,4,chat
2025-02-03,Northeast,C219916,refund_status,-0.21922614341310626,14.3,5,twitter
2025-02-03,Northeast,C866346,other,-0.16059376732786124,18.2,3,chat
2025-02-03,Northeast,C457802,refund_status,-0.19831827210313818,14.8,4,chat
2025-02-03,Northeast,C651256,defective_item,0.32472628556449046,8.3,4,phone
2025-02-03,Northeast,C559787,refund_status,7.964942189297997e-06,9.0,3,twitter
